,newinfections,hospitalized,recovered,deceased
5775,623,748,7582,831
5796,570,768,7830,851
5817,510,763,8097,868
5838,532,757,8415,879
5859,413,734,8543,886
5880,556,790,8939,893
5901,396,773,9326,906
5922,381,777,9890,927
5943,395,774,10428,940
5964,408,773,10857,955
5985,376,748,11764,969
6006,294,738,12206,980
6027,124,751,12768,989
6048,312,727,13267,994
6069,264,730,13650,1003
6090,227,722,14197,1013
6111,262,713,14947,1017
6132,277,695,15567,1029
6153,344,685,15737,1038
6174,192,694,16336,1057
6195,100,660,16836,1072
6216,257,655,17560,1084
6237,246,633,18347,1102
6258,227,601,18815,1111
6279,156,608,19195,1120
6300,216,599,19307,1124
6321,64,598,19739,1129
6342,86,575,20235,1137
6363,255,545,20705,1151
6384,223,526,21248,1156
6405,339,469,21408,1162
6426,34,465,21419,1167
6447,25,479,21507,1173
6468,41,496,21812,1176
6489,47,489,22123,1185
6510,278,468,22616,1206
6531,456,465,23028,1213
6552,410,473,23132,1218
6573,23,480,23266,1229
6594,207,486,23299,1231
6615,121,505,23629,1240
6636,213,510,23941,1252
6657,365,502,24066,1254
6678,229,514,24298,1265
6699,160,516,24672,1269
6720,400,503,24901,1274
6741,315,506,24935,1277
6762,120,509,25208,1285
6783,152,516,25597,1291
6804,314,508,25823,1300
6825,256,493,26105,1309
6846,240,484,26276,1311
6867,196,484,26427,1317
6888,285,481,26438,1325
6909,107,497,26707,1333
6930,113,487,27147,1342
6951,279,488,27478,1349
6972,212,485,28007,1358
6993,318,481,28469,1375
7014,221,468,28768,1385
7035,325,474,28842,1393
7056,69,470,29341,1418
7077,152,457,29625,1435
7098,344,442,29933,1441
7119,268,439,30206,1446
7140,343,429,30538,1453
7161,385,432,30865,1462
7182,402,429,30892,1467
7203,161,448,31101,1470
7224,210,458,31674,1478
7245,449,474,32162,1482
7266,526,499,32458,1488
7287,276,501,32740,1498
7308,509,510,32918,1502
7329,436,521,32919,1513
7350,184,536,33120,1518
7371,241,542,33558,1526
7392,314,548,33807,1533
7413,540,555,34274,1538
7434,357,560,34441,1545
7455,508,599,34558,1558
7476,222,599,34560,1563
7497,533,594,34747,1575
7518,493,599,34905,1582
7539,438,614,35434,1588
7560,482,622,35803,1599
7581,494,619,36219,1608
7602,387,642,36497,1610
7623,503,662,36549,1620
7644,351,669,36841,1628
7665,322,673,37289,1652
7686,535,693,37917,1662
7707,653,687,38638,1678
7728,594,688,39125,1689
7749,355,688,39479,1698
7770,568,704,39523,1701
7791,199,714,39844,1709
7812,246,719,40135,1720
7833,573,720,40708,1731
7854,552,736,41194,1758
7875,473,744,41621,1766
7896,442,717,42046,1791
7917,553,727,42131,1801
7938,273,749,42510,1813
7959,187,759,42804,1825
7980,372,756,43255,1835
8001,608,752,44161,1872
8022,515,744,44653,1883
8043,320,743,45235,1894
8064,323,766,45347,1901
8085,329,772,45699,1911
8106,212,762,46330,1924
8127,304,756,47316,1934
8148,462,756,48342,1943
8169,417,760,48868,1972
8190,370,751,49292,2007
8211,353,756,49327,2016
8232,190,759,49623,2023
8253,188,744,49966,2041
8274,329,717,50528,2052
8295,310,700,50987,2067
8316,392,700,51411,2072
8337,348,706,51794,2074
8358,269,690,51801,2083
8379,224,698,52112,2100
8400,153,691,52539,2125
8421,314,675,52969,2136
8442,272,675,53222,2145
8463,424,646,53440,2151
8484,225,644,53691,2166
8505,438,654,53697,2169
8526,19,666,53724,2173
8547,47,673,53902,2187
8568,219,664,54281,2200
8589,277,656,54656,2212
8610,351,639,55076,2227
8631,238,624,55277,2240
8652,259,622,55299,2243
8673,90,633,55433,2248
8694,174,612,55735,2269
8715,264,615,55968,2293
8736,215,593,56211,2298
8757,210,582,56737,2315
8778,180,569,56926,2329
8799,258,562,56951,2333
8820,97,566,57385,2337
8841,170,545,57800,2345
8862,163,524,57951,2347
8883,233,512,58270,2355
8904,158,504,58607,2360
8925,137,491,58961,2369
8946,179,476,58998,2376
8967,97,463,59181,2377
8988,81,445,59697,2385
9009,177,431,59926,2391
9030,195,421,60119,2397
9051,151,410,60432,2403
9072,226,380,60457,2408
9093,159,386,60458,2412
9114,37,394,60613,2415
9135,85,375,60938,2420
9156,192,365,61333,2422
9177,174,349,61506,2422
9198,196,334,61947,2428
9219,85,309,62115,2434
9240,145,299,62132,2437
9261,54,307,62280,2438
9282,79,279,62531,2447
9303,150,270,63093,2447
9324,89,255,63427,2450
9345,144,234,63692,2452
9366,112,224,63797,2453
9387,100,221,63820,2454
9408,20,223,63928,2457
9429,33,217,64421,2460
9450,72,218,64806,2465
9471,62,197,65021,2463
9492,67,197,65198,2465
9513,128,196,65254,2466
9534,68,195,65254,2468
9555,15,200,65327,2469
9576,40,193,65449,2471
9597,66,187,65652,2473
9618,64,178,65780,2475
9639,43,163,65935,2478
9660,55,151,65983,2480
9681,54,147,65986,2480
9702,15,150,66065,2482
9723,35,141,66251,2484
9744,67,132,66327,2484
9765,10,131,66387,2486
9786,45,115,66561,2490
9807,44,109,66634,2490
9828,39,99,66634,2491
9849,13,98,67218,2496
9870,25,94,69355,2498
9891,48,85,70029,2498
9912,38,85,70248,2499
9933,28,80,70389,2500
9954,29,72,70432,2502
9975,14,73,70433,2502
9996,5,75,70494,2502
10017,28,69,70616,2503
10038,27,64,70658,2506
10059,22,57,70736,2507
10080,25,53,70786,2507
10101,35,43,70837,2509
10122,27,45,70844,2509
10143,5,45,70896,2509
10164,13,43,70990,2509
10185,20,37,71060,2511
10206,40,33,71145,2512
10227,19,29,71175,2512
10248,20,26,71213,2512
10269,29,27,71220,2512
10290,1,27,71257,2512
10311,30,26,71380,2512
10332,35,26,71440,2512
10353,50,25,71478,2512
10374,23,22,71512,2512
10395,28,23,71526,2512
10416,25,22,71526,2512
10437,7,24,71569,2512
10458,33,24,71603,2512
10479,35,24,71643,2512
10500,49,26,71642,2512
10521,32,27,71685,2512
10542,34,29,71696,2512
10563,25,30,71696,2512
10584,0,30,71708,2512
10605,33,29,71751,2512
10626,42,26,71790,2512
10647,50,25,71844,2513
10668,25,26,71871,2513
10689,34,23,71889,2513
10710,52,22,71890,2513
10731,15,23,71904,2513
10752,45,21,71925,2513
10773,65,19,71975,2513
10794,61,19,71995,2513
10815,62,20,72028,2514
10836,53,23,72055,2514
10857,85,24,72056,2514
10878,6,25,72083,2514
10899,29,24,72091,2514
10920,141,26,72133,2514
10941,67,23,72179,2514
10962,112,22,72215,2514
10983,85,23,72247,2514
11004,58,34,72246,2514
11025,25,39,72291,2515
11046,54,43,72360,2515
11067,126,40,72422,2515
11088,123,39,72464,2515
11109,85,42,72504,2515
11130,83,43,72535,2515
11151,120,44,72545,2515
11172,25,50,72591,2515
11193,78,54,72665,2515
11214,141,49,72725,2516
11235,140,52,72801,2516
11256,95,51,72904,2518
11277,104,55,72972,2518
11298,76,61,72985,2518
11319,15,66,73026,2518
11340,99,67,73103,2519
11361,143,68,73188,2519
11382,154,71,73276,2519
11403,101,74,73357,2519
11424,150,71,73445,2519
11445,117,73,73445,2519
11466,11,78,73550,2520
11487,92,81,73670,2522
11508,120,86,73791,2523
11529,98,91,73915,2523
11550,87,87,74035,2525
11571,111,89,74118,2525
11592,140,87,74119,2527
11613,20,95,74182,2529
11634,57,96,74325,2529
11655,110,93,74404,2530
11676,152,91,74522,2531
11697,87,92,74663,2532
11718,85,89,74765,2532
11739,101,88,74765,2533
11760,4,87,74874,2534
11781,70,89,74963,2534
11802,123,86,75061,2534
11823,131,83,75186,2534
11844,105,83,75247,2534
11865,85,78,75383,2534
11886,74,77,75405,2535
11907,26,82,75496,2535
11928,87,80,75656,2535
11949,93,80,75775,2535
11970,100,77,75899,2535
11991,81,79,75972,2535
12012,60,82,76020,2535
12033,61,84,76020,2536
12054,11,87,76105,2536
12075,65,88,76257,2537
12096,59,82,76352,2539
12117,57,71,76433,2540
12138,54,68,76529,2541
12159,49,62,76583,2542
12180,95,63,76584,2542
12201,8,67,76631,2544
12222,28,66,76716,2544
12243,74,63,76826,2544
12264,61,60,76907,2544
12285,56,56,77003,2545
12306,50,57,77060,2545
12327,36,58,77063,2545
12348,14,59,77162,2546
12369,35,55,77235,2546
12390,61,56,77359,2546
12411,54,53,77486,2547
12432,28,51,77534,2548
12453,48,51,77581,2549
12474,19,55,77581,2549
12495,6,55,77666,2549
12516,56,53,77740,2550
12537,56,52,77807,2550
12558,45,54,77839,2550
12579,42,53,77849,2551
12600,26,55,77912,2552
12621,39,58,77919,2553
12642,3,61,78004,2553
12663,46,60,78092,2555
12684,54,56,78126,2557
12705,72,53,78180,2558
12726,92,51,78240,2559
12747,124,57,78255,2559
12768,83,62,78255,2559
12789,7,66,78296,2559
12810,70,62,78355,2559
12831,106,62,78393,2559
12852,98,63,78430,2559
12873,167,74,78475,2559
12894,83,68,78503,2560
12915,105,65,78512,2562
12936,33,64,78525,2562
12957,17,70,78558,2562
12978,106,73,78664,2564
12999,128,75,78710,2565
13020,143,73,78766,2565
13041,145,77,78772,2565
13062,178,75,78786,2565
13083,19,80,78848,2566
13104,114,84,78963,2566
13125,221,87,79024,2566
13146,145,88,79074,2566
13167,152,91,79212,2566
13188,179,86,79241,2567
13209,232,85,79259,2567
13230,26,92,79326,2568
13251,121,95,79496,2571
13272,173,97,79612,2571
13293,354,101,79678,2573
13314,181,95,79789,2574
13335,265,96,79826,2577
13356,198,96,79830,2578
13377,42,99,79869,2578
13398,115,100,80050,2579
13419,256,102,80266,2580
13440,272,98,80380,2583
13461,297,98,80495,2586
13482,219,107,80565,2586
13503,138,115,80566,2586
13524,39,119,80740,2589
13545,149,113,80880,2591
13566,243,115,81068,2595
13587,485,118,81290,2595
13608,286,123,81351,2597
13629,279,112,81457,2598
13650,196,122,81460,2599
13671,89,128,81581,2599
13692,156,127,81821,2602
13713,338,130,81977,2605
13734,134,134,82144,2607
13755,317,130,82388,2607
13776,362,127,82491,2609
13797,333,135,82495,2609
13818,89,134,82682,2609
13839,239,135,82813,2610
13860,333,134,83125,2610
13881,506,140,83336,2613
13902,439,135,83475,2614
13923,446,140,83676,2615
13944,361,149,83678,2617
13965,179,149,83824,2620
13986,235,147,83994,2623
14007,632,141,84353,2626
14028,662,145,84595,2626
14049,686,149,84736,2629
14070,722,152,84825,2629
14091,225,165,84883,2629
14112,400,175,84973,2630
14133,696,184,85188,2631
14154,921,196,85586,2634
14175,3167,189,86448,2638
14196,4773,198,86882,2640
14217,4022,200,87082,2640
14238,1135,206,87087,2642
14259,1990,216,87371,2645
14280,5061,239,87764,2648
14301,5315,250,88124,2654
14322,4808,272,88268,2655
14343,1540,294,88798,2659
14364,5479,309,88990,2663
14385,4630,318,89515,2670
14406,2372,339,89828,2671
14427,4996,370,90857,2673
14448,3912,373,91524,2680
14469,3610,386,92004,2681
14490,3570,391,93386,2689
14511,3835,413,94362,2691
14532,3633,424,94661,2699
14553,1527,433,95384,2705
14574,5075,436,95967,2707
14595,3822,448,96422,2720
14616,4004,458,96670,2726
14637,3748,431,96891,2738
14658,3619,438,97077,2743
14679,3394,448,97243,2748
14700,1568,456,97753,2758
14721,4627,455,98041,2765
14742,3551,449,98412,2777
14763,3615,455,98803,2786
14784,3102,452,99096,2793
14805,3087,453,99515,2798
14826,2828,448,99532,2807
14847,1262,464,99988,2811
14868,3823,465,100790,2814
14889,2601,469,101642,2821
14910,2756,509,103127,2822
14931,2304,521,105213,2830
14952,2235,521,107380,2835
14973,2079,535,110169,2836
14994,1080,544,113400,2846
15015,2938,560,117456,2851
15036,2064,563,121670,2855
15057,1745,543,126304,2864
15078,1872,536,129873,2869
15099,1511,527,133364,2874
15120,1496,522,134311,2881
15141,725,517,135382,2883
15162,2087,515,136023,2888
15183,1563,511,155545,2894
15204,1728,493,156302,2905
15225,1549,476,157326,2912
15246,1609,448,157571,2917
15267,1274,457,158264,2922
15288,647,454,160141,2927
15309,1941,445,160749,2932
15330,1639,431,186276,2940
15351,1328,430,186986,2945
15372,1293,429,187888,2947
15393,1135,404,197691,2950
15414,763,404,198087,2954
15435,459,400,198454,2958
15456,1414,380,199071,2963
15477,1085,348,199918,2972
15498,1213,337,200520,2975
15519,1017,325,201019,2986
15540,1006,314,201458,2995
15561,918,303,201867,2999
15582,462,306,202311,3000
15603,1684,292,202810,3003
15624,1211,286,207755,3006
15645,1223,266,243231,3015
15666,1378,258,243948,3019
15687,1360,269,244599,3021
15708,1446,285,244900,3026
15729,687,296,245640,3027
15750,2345,297,246171,3032
15771,1832,286,247045,3035
15792,2208,274,247631,3036
15813,1958,265,247938,3038
15834,1969,269,248412,3039
15855,1891,286,248776,3040
15876,832,286,250177,3044
15897,2904,290,250946,3049
15918,2248,287,251677,3054
15939,2352,290,252389,3058
15960,2269,287,266091,3063
15981,2214,289,266867,3068
16002,2032,284,267377,3075
16023,834,302,268178,3080
16044,3171,301,268984,3083
16065,2221,303,270139,3087
16086,2330,310,271357,3090
16107,2301,311,272615,3095
16128,2068,313,273727,3098
16149,1800,325,274582,3103
16170,762,322,275928,3112
16191,2900,338,278879,3115
16212,1982,326,280805,3116
16233,2101,326,282874,3120
16254,2079,327,285137,3123
16275,2122,323,286018,3127
16296,1649,319,286816,3133
16317,744,326,288525,3135
16338,2713,326,289935,3139
16359,1723,326,291538,3145
16380,2032,324,293003,3149
16401,1993,308,295055,3152
16422,1948,327,295946,3160
16443,1913,320,297049,3164
16464,574,329,297081,3166
16485,874,335,298489,3169
16506,3746,338,299877,3174
16527,2337,337,302134,3176
16548,2633,332,303964,3182
16569,2660,332,304984,3185
16590,2136,331,306069,3188
16611,940,334,306757,3189
16632,1291,337,308108,3199
16653,0,337,308108,3199
