,newinfections,hospitalized,recovered,deceased
12296,73,33,74943,1193
12317,54,33,74985,1194
12338,76,33,75035,1194
12359,2,37,75093,1194
12380,57,33,75161,1194
12401,95,32,75252,1195
12422,33,32,75260,1195
12443,82,29,75327,1195
12464,52,31,75369,1195
12485,46,31,75425,1196
12506,2,31,75502,1197
12527,30,29,75507,1197
12548,63,27,75546,1198
12569,16,30,75608,1199
12590,64,30,75666,1199
12611,101,30,75709,1199
12632,46,28,75772,1199
12653,4,33,75854,1199
12674,35,32,75881,1199
12695,123,37,75908,1199
12716,84,36,75976,1199
12737,53,41,76036,1199
12758,90,44,76100,1199
12779,79,43,76156,1199
12800,22,50,76195,1199
12821,58,52,76243,1199
12842,158,47,76266,1199
12863,83,49,76336,1200
12884,193,49,76392,1201
12905,196,50,76445,1202
12926,82,49,76518,1203
12947,51,53,76562,1203
12968,27,60,76606,1204
12989,205,62,76617,1205
13010,255,61,76683,1207
13031,177,62,76775,1207
13052,273,58,76863,1207
13073,163,60,76963,1207
13094,192,69,77024,1207
13115,120,69,77117,1208
13136,338,72,77153,1209
13157,425,73,77132,1211
13178,386,71,77385,1213
13199,359,74,77502,1217
13220,256,73,77704,1217
13241,233,83,77803,1217
13262,143,79,77907,1220
13283,365,78,78003,1220
13304,425,80,78176,1221
13325,371,85,78547,1225
13346,399,85,78576,1226
13367,277,87,78795,1227
13388,244,88,78919,1229
13409,272,89,79143,1229
13430,339,85,79426,1233
13451,547,89,79575,1235
13472,540,97,80016,1236
13493,395,95,80430,1239
13514,396,101,80825,1239
13535,256,105,81075,1240
13556,465,110,81491,1240
13577,677,111,81842,1241
13598,717,113,81997,1245
13619,533,104,82617,1247
13640,549,106,82829,1248
13661,369,107,83207,1249
13682,220,113,83559,1255
13703,400,116,83895,1258
13724,566,112,84095,1260
13745,331,114,84415,1260
13766,543,107,85059,1264
13787,497,103,85441,1268
13808,398,111,85999,1269
13829,222,118,86418,1274
13850,471,108,86882,1277
13871,452,107,87203,1278
13892,442,98,87590,1280
13913,395,103,88244,1282
13934,359,94,88619,1283
13955,188,97,89140,1284
13976,114,102,89465,1284
13997,355,109,89736,1287
14018,399,107,90105,1289
14039,344,103,90471,1293
14060,370,101,91189,1296
14081,310,91,91613,1297
14102,113,96,92381,1298
14123,235,108,92745,1298
14144,500,105,92995,1300
14165,494,97,93155,1301
14186,664,99,93632,1301
14207,717,98,94322,1305
14228,711,89,94875,1307
14249,359,93,95702,1308
14270,444,102,96056,1309
14291,1310,103,96343,1311
14312,1370,96,96514,1311
