,newinfections,hospitalized,recovered,deceased
5372,2273,1589,16136,1470
5393,2592,1512,16738,1502
5414,2787,1582,17352,1532
5435,2479,1700,17938,1561
5456,2244,1776,19116,1594
5477,2223,1824,19451,1648
5498,2507,1874,20319,1701
5519,1932,1909,21198,1738
5540,2478,1921,22408,1793
5561,2420,1945,23854,1835
5582,2653,2008,25216,1879
5603,2433,2061,26070,1915
5624,2361,2069,28078,1967
5645,2508,2087,30573,2022
5666,1972,2101,32480,2073
5687,2207,2087,34894,2121
5708,1892,2094,37471,2165
5729,1929,2083,39765,2216
5750,1323,2128,41345,2264
5771,962,2067,43973,2311
5792,986,2040,46318,2378
5813,1351,1993,48742,2450
5834,1117,1925,51397,2516
5855,1196,1872,54005,2563
5876,908,1868,56403,2601
5897,893,1862,58774,2641
5918,658,1830,61225,2673
5939,776,1785,64632,2718
5960,929,1739,67618,2756
5981,1071,1681,70798,2798
6002,769,1634,74261,2839
6023,753,1612,76331,2867
6044,593,1618,78008,2898
6065,428,1588,80461,2933
6086,505,1600,82361,2957
6107,517,1570,85076,3032
6128,657,1509,87191,3082
6149,574,1449,89462,3117
6170,673,1399,91079,3151
6191,445,1403,92117,3193
6212,332,1370,93619,3238
6233,489,1303,95290,3285
6254,636,1261,96638,3348
6275,514,1200,97851,3390
6296,540,1187,98859,3415
6317,483,1150,99538,3439
6338,452,1150,100366,3473
6359,309,1116,101212,3495
6380,435,1069,102105,3517
6401,563,1049,103021,3552
6422,613,1009,103328,3558
6443,402,991,104099,3580
6464,227,1012,104396,3588
6485,181,1054,105064,3617
6506,271,1036,105589,3632
6527,460,1029,106304,3655
6548,632,988,106977,3673
6569,589,953,107381,3700
6590,498,964,107674,3720
6611,355,981,108092,3730
6632,313,1018,108360,3744
6653,337,999,109021,3762
6674,411,961,109593,3789
6695,667,973,110191,3807
6716,452,946,110885,3830
6737,529,931,111534,3840
6758,472,909,111995,3855
6779,379,933,112426,3884
6800,303,910,113005,3905
6821,507,878,113398,3916
6842,424,855,113949,3930
6863,446,844,114472,3940
6884,436,831,114850,3957
6905,406,816,115676,3972
6926,345,845,115870,3994
6947,241,836,116163,4020
6968,443,809,116561,4038
6989,503,775,117029,4052
7010,429,752,117543,4068
7031,520,736,117983,4089
7052,526,742,118347,4095
7073,422,770,118712,4109
7094,346,785,119083,4118
7115,502,779,119594,4130
7136,620,772,119929,4146
7157,594,759,120169,4172
7178,603,743,120669,4194
7199,510,744,121079,4202
7220,373,757,121330,4217
7241,399,778,121800,4226
7262,551,772,122187,4247
7283,760,754,122580,4269
7304,703,748,122865,4285
7325,708,752,123389,4296
7346,668,758,123860,4318
7367,523,803,124089,4333
7388,453,814,124493,4360
7409,671,815,124966,4376
7430,894,808,125415,4383
7451,727,811,125937,4400
7472,764,814,126337,4414
7493,725,823,126779,4431
7514,428,845,127018,4449
7535,444,851,127472,4464
7556,773,836,128138,4486
7577,956,861,128676,4497
7598,924,872,129174,4516
7619,953,893,129585,4531
7640,968,891,130060,4546
7661,911,952,130383,4562
7682,824,983,130853,4582
7703,857,1005,131409,4599
7724,1374,1012,132044,4613
7745,1254,1007,132523,4635
7766,1126,1053,133083,4655
7787,1068,1077,133518,4668
7808,877,1122,133961,4686
7829,1058,1163,134643,4699
7850,1163,1192,135347,4727
7871,1239,1202,136119,4750
7892,1231,1236,136890,4761
7913,1293,1270,137614,4784
7934,1355,1308,138244,4794
7955,1000,1376,138712,4816
7976,1001,1424,139458,4837
7997,1293,1456,140391,4857
8018,1302,1488,141273,4877
8039,1304,1510,142255,4902
8060,1326,1549,143026,4922
8081,1305,1599,143776,4941
8102,1106,1643,144570,4952
8123,1247,1669,145470,4970
8144,1275,1694,146712,4991
8165,1513,1700,147769,5016
8186,1365,1694,148808,5041
8207,1510,1664,149888,5059
8228,1358,1653,150913,5095
8249,1140,1706,151599,5118
8270,1062,1729,152771,5149
8291,1197,1741,154068,5176
8312,1620,1727,155313,5198
8333,1425,1730,156354,5220
8354,1467,1760,157725,5239
8375,1368,1769,158808,5266
8396,1021,1794,159469,5297
8417,1180,1807,160617,5329
8438,1538,1825,161919,5348
8459,1631,1849,163197,5380
8480,1640,1861,164563,5406
8501,1473,1881,165981,5428
8522,1626,1888,167062,5454
8543,981,1948,168023,5478
8564,685,1991,168821,5510
8585,937,1999,170444,5551
8606,1153,1992,171726,5571
8627,1309,1988,173045,5604
8648,1177,1974,174442,5632
8669,1222,1952,175788,5662
8690,715,1984,176600,5692
8711,934,1947,177717,5726
8732,1168,1946,179190,5758
8753,1206,1919,180661,5784
8774,1239,1835,182110,5804
8795,1150,1815,183426,5824
8816,958,1801,184655,5852
8837,771,1850,185753,5883
8858,644,1822,187011,5911
8879,936,1808,188514,5942
8900,1041,1781,190006,5975
8921,1003,1757,191474,5992
8942,886,1729,192794,6018
8963,955,1705,193928,6040
8984,737,1728,194818,6062
9005,522,1706,196211,6096
9026,847,1670,197525,6128
9047,1052,1616,198690,6155
9068,870,1585,199989,6184
9089,895,1527,201136,6202
9110,730,1546,201958,6219
9131,570,1555,202799,6248
9152,503,1503,203731,6273
9173,744,1447,205040,6308
9194,861,1415,206136,6341
9215,715,1366,207361,6352
9236,676,1322,208320,6373
9257,713,1296,209414,6382
9278,481,1311,210180,6402
9299,367,1263,211216,6423
9320,495,1202,212215,6461
9341,651,1165,213331,6482
9362,529,1117,214299,6499
9383,491,1064,215214,6518
9404,506,1017,215972,6526
9425,382,1031,216579,6541
9446,291,969,216951,6559
9467,341,929,217735,6575
9488,559,877,218890,6590
9509,392,837,219845,6601
9530,358,796,220923,6617
9551,382,760,221550,6625
9572,245,741,222131,6639
9593,215,702,222862,6646
9614,258,660,223632,6657
9635,319,618,224355,6673
9656,301,565,224992,6689
9677,200,557,225696,6698
9698,263,532,226182,6706
9719,147,540,226601,6719
9740,159,504,227243,6725
9761,162,477,227895,6729
9782,186,469,228399,6736
9803,133,445,228895,6741
9824,154,407,229320,6749
9845,193,384,229666,6758
9866,160,386,229981,6764
9887,90,374,230340,6775
9908,127,341,230765,6784
9929,174,331,231192,6796
9950,146,305,231515,6805
9971,146,274,231869,6810
9992,123,261,232101,6816
10013,82,253,232432,6819
10034,57,240,232632,6826
10055,106,223,232927,6832
10076,60,200,233201,6838
10097,67,189,233436,6841
10118,62,182,233679,6842
10139,55,172,233747,6847
10160,45,171,234035,6847
10181,25,164,234234,6849
10202,50,150,234478,6853
10223,73,142,234648,6854
10244,42,132,234793,6860
10265,52,124,234873,6860
10286,35,120,234940,6861
10307,33,122,235242,6862
10328,18,126,235401,6864
10349,37,114,235596,6868
10370,53,109,235713,6870
10391,58,101,235828,6871
10412,50,103,235960,6874
10433,49,95,236042,6875
10454,41,100,236133,6883
10475,59,91,236217,6886
10496,41,86,236298,6887
10517,94,83,236346,6887
10538,79,83,236415,6888
10559,63,85,236445,6888
10580,87,81,236558,6889
10601,66,80,236652,6891
10622,65,72,236719,6892
10643,90,71,236792,6896
10664,173,77,236878,6897
10685,169,76,236939,6898
10706,222,80,236989,6898
10727,243,82,237022,6898
10748,191,90,237055,6899
10769,169,85,237102,6899
10790,306,91,237193,6899
10811,505,90,237329,6901
10832,470,98,237344,6901
