,newinfections,hospitalized,recovered,deceased
5631,3657,2459,25643,1160
5652,3334,2481,27898,1192
5673,4226,2445,29293,1217
5694,3554,2458,30672,1249
5715,3217,2419,31522,1270
5736,2158,2532,33613,1309
5757,1764,2475,35957,1387
5778,2815,2474,39428,1434
5799,3008,2412,41151,1483
5820,2924,2372,43414,1546
5841,2729,2350,45693,1595
5862,2022,2348,47276,1631
5883,1626,2323,49119,1673
5904,1113,2278,51832,1721
5925,1842,2237,54015,1764
5946,2295,2203,56177,1818
5967,1651,2165,58461,1903
5988,1521,1723,60422,1958
6009,1552,2071,62060,1990
6030,1060,1977,64029,2029
6051,1080,2038,66604,2064
6072,1361,1990,69473,2108
6093,1198,1929,71662,2165
6114,1340,1972,74624,2228
6135,1414,1931,76382,2275
6156,1219,1938,78395,2310
6177,1088,1926,80043,2340
6198,647,1843,83068,2390
6219,900,1825,85972,2424
6240,927,1775,88502,2472
6261,1201,1741,91503,2528
6282,949,1720,92927,2560
6303,891,1673,94031,2571
6324,691,1691,95128,2599
6345,791,1647,98167,2624
6366,1067,1620,100527,2643
6387,1156,1590,101601,2663
6408,1009,1551,102065,2670
6429,539,1529,102580,2678
6450,310,1535,103370,2686
6471,433,1520,104549,2719
6492,625,1499,105933,2765
6513,930,1459,107696,2812
6534,1554,1438,109574,2844
6555,1734,1463,110215,2864
6576,392,1454,110891,2893
6597,619,1460,111682,2911
6618,747,1473,112726,2942
6639,688,1469,114518,2975
6660,1366,1461,115882,2994
6681,1052,1481,116879,3033
6702,984,1495,119030,3079
6723,1263,1483,120127,3115
6744,1253,1483,121255,3128
6765,1021,1509,122910,3165
6786,662,1523,125656,3209
6807,1098,1511,127035,3257
6828,1294,1469,127795,3298
6849,1150,1494,128728,3335
6870,1132,1529,128727,3335
6891,1021,1554,130668,3370
6912,714,1542,131806,3395
6933,651,1565,133205,3429
6954,968,1548,135145,3471
6975,1215,1540,136008,3511
6996,1106,1542,146113,3557
7017,1150,1551,146914,3586
7038,1069,1560,147439,3598
7059,754,1560,148085,3618
7080,976,1571,148876,3643
7101,1178,1554,150266,3669
7122,1313,1572,150950,3704
7143,1175,1520,154051,3725
7164,1366,1527,155381,3747
7185,1401,1516,156006,3757
7206,994,1534,157081,3765
7227,919,1583,158436,3803
7248,1539,1575,159700,3820
7269,1544,1568,160976,3856
7290,1665,1593,161648,3879
7311,1546,1607,162264,3888
7332,1741,1605,162770,3891
7353,1189,1652,163710,3904
7374,1274,1652,165335,3928
7395,1635,1589,166526,3954
7416,1694,1540,167666,3966
7437,1637,1505,168249,3981
7458,1751,1460,169230,3999
7479,1603,1433,169916,4006
7500,966,1388,170804,4022
7521,1135,1390,171998,4039
7542,1575,1408,172860,4053
7563,1573,1400,174901,4082
7584,1616,1423,176457,4095
7605,1677,1401,177000,4106
7626,1658,1420,177702,4120
7647,1202,1444,178925,4141
7668,1436,1459,181042,4179
7689,2185,1449,181890,4219
7710,2385,1436,183104,4248
7731,2519,1438,184883,4259
7752,2215,1439,185794,4273
7773,2561,1471,186318,4278
7794,1896,1477,187264,4298
7815,2046,1493,187942,4334
7836,2635,1493,188570,4374
7857,2780,1497,189604,4414
7878,2842,1498,190181,4427
7899,2843,1533,190777,4451
7920,2560,1541,191162,4464
7941,1644,1573,192453,4505
7962,2709,1588,193791,4550
7983,3034,1614,195605,4576
8004,2981,1648,197279,4603
8025,2644,1651,198697,4632
8046,2940,1697,200386,4655
8067,2449,1690,201943,4684
8088,1823,1704,203680,4719
8109,2656,1725,205244,4784
8130,2665,1702,207302,4817
8151,2223,1715,208600,4830
8172,1997,1724,209805,4843
8193,2196,1736,211416,4871
8214,1810,1786,213419,4897
8235,1313,1791,216036,4940
8256,1862,1776,219030,5002
8277,2045,1766,221110,5054
8298,2068,1760,223924,5116
8319,1947,1767,226818,5158
8340,2209,1762,229146,5189
8361,2095,1757,230662,5207
8382,1169,1770,232906,5261
8403,1573,1750,235743,5325
8424,2016,1747,238809,5363
8445,2258,1746,241380,5418
8466,2057,1713,244359,5475
8487,2314,1719,246327,5509
8508,1908,1662,247346,5516
8529,929,1758,248732,5525
8550,846,1763,250112,5587
8571,1358,1755,252199,5653
8592,1933,1753,254178,5703
8613,2225,1706,256145,5734
8634,2069,1696,258061,5747
8655,1854,1714,259615,5774
8676,1386,1730,261443,5817
8697,1627,1725,263291,5824
8718,2212,1712,264906,5851
8739,2224,1693,267074,5891
8760,1994,1638,268594,5922
8781,2232,1677,270531,5934
8802,1700,1675,272042,5952
8823,1334,1686,273561,5987
8844,1750,1677,275673,6039
8865,1881,1678,277426,6069
8886,1912,1684,279179,6095
8907,1970,1659,281092,6144
8928,2012,1639,283223,6189
8949,1854,1648,284587,6210
8970,1282,1668,286423,6268
8991,1654,1642,288080,6305
9012,1844,1643,289769,6336
9033,1986,1599,291640,6369
9054,1898,1589,294011,6393
9075,1950,1578,295740,6405
9096,1352,1610,297441,6416
9117,959,1622,299192,6446
9138,1331,1608,301880,6484
9159,1447,1581,304273,6522
9180,1503,1556,306455,6548
9201,1382,1527,308632,6591
9222,1415,1504,310521,6626
9243,1233,1467,312137,6636
9264,943,1478,314033,6690
9285,1109,1464,316423,6719
9306,1127,1423,318376,6749
9327,1110,1390,320430,6773
9348,1118,1349,322323,6797
9369,946,1298,323754,6805
9390,919,1273,325178,6816
9411,550,1261,326771,6844
9432,598,1214,328681,6874
9453,634,1174,330200,6893
9474,649,1154,331774,6933
9495,705,1129,333404,7040
9516,565,1093,335737,7069
9537,628,1052,336853,7074
9558,401,999,337994,7102
9579,410,942,339214,7139
9600,483,914,340515,7147
9621,533,855,341763,7168
9642,477,830,343021,7183
9663,331,812,343566,7190
9684,385,794,344440,7191
9705,284,765,345384,7206
9726,375,694,346440,7216
9747,388,679,347234,7221
9768,218,648,348023,7229
9789,300,642,349128,7239
9810,307,621,349803,7241
9831,255,617,350387,7242
9852,177,609,351110,7252
9873,251,595,351905,7268
9894,257,561,352687,7288
9915,209,525,353440,7315
9936,199,507,354088,7326
9957,187,471,354673,7334
9978,147,439,355124,7337
9999,80,403,355448,7342
10020,136,389,403661,7357
10041,167,360,404125,7363
