,newinfections,hospitalized,recovered,deceased
5006,1687,1249,86738,17084
5027,2023,1391,87072,17103
5048,4125,1655,87591,17123
5069,4125,1841,88059,17152
5090,4916,2197,88536,17159
5111,4956,2366,88706,17210
5132,5762,2557,89145,17235
5153,3570,2701,90356,17252
5174,5035,2986,90774,17310
5195,7558,3364,91763,17357
5216,7339,3700,92567,17414
5237,8960,4068,94134,17462
5258,8919,4425,96198,17535
5279,8607,4664,96687,17589
5300,5278,4841,97576,17635
5321,6804,5215,100115,17752
5342,7758,5525,101610,17848
5363,8822,5840,102502,17987
5384,9934,6133,107463,18118
5405,11489,6423,108581,18226
5426,6318,6875,110001,18343
5447,4777,7084,115630,18442
5468,10955,7390,122410,18571
5489,8180,7671,124025,18723
5510,9291,7829,132254,18910
5531,10634,8120,134294,19028
5552,8129,8438,137255,19186
5573,8060,8618,138872,19367
5594,4128,8756,153103,19466
5615,8448,9045,157121,19668
5636,7633,9226,169056,19850
5657,7453,9206,172847,20015
5678,9221,9234,177832,20190
5699,8853,9250,183472,20359
5720,5094,9340,186680,20524
5741,5289,9276,206317,20664
5762,4886,9292,212175,20850
5783,5173,9056,227924,21005
5804,5697,8930,231042,21212
5825,5389,8794,246096,21393
5846,4615,8535,250832,21512
5867,3203,8307,251588,21647
5888,1929,8339,260528,21855
5909,4048,8218,268702,22104
5930,3425,8077,274189,22279
5951,3751,7861,278058,22626
5972,4533,7614,284073,22773
5993,3148,7359,288056,22884
6014,2413,7179,289706,23024
6035,1562,7143,291591,23080
6056,1656,6954,297290,23208
6077,1233,6493,320380,23277
6098,2093,6361,324961,23449
6119,2938,6150,327561,23581
6140,2736,6006,332595,23666
6161,2335,5873,333503,23810
6182,945,5738,342409,23877
6203,2404,5652,347130,23991
6224,2994,5575,356175,24097
6245,2730,5404,360529,24165
6266,2744,5258,363044,24225
6287,1944,5087,365440,24330
6308,1795,4924,366058,24379
6329,950,4793,374434,24420
6350,2278,4830,376790,24512
6371,2153,4779,379750,24610
6392,2656,4699,384670,24677
6413,2628,4498,386391,24782
6434,1606,4352,387049,24818
6455,466,4309,387761,24867
6476,573,4303,392854,24909
6497,843,4132,393995,24958
6518,1673,4098,397010,25038
6539,3859,3926,399157,25123
6560,3056,3839,401444,25203
6581,1402,3784,402070,25281
